NODE_ID,NODE_NAME,x,y
"2220312700",창현1교북측,127.3181094503,37.6329296704
"2220312800",화도JC,127.3184138533,37.6344194779
"2220312900",묵현천교남측,127.3188388043,37.6357239181
"2220313000",화도JC,127.3190679629,37.6356743672
"2220313100",묵현천교북측,127.3200453782,37.6377405373
"2220313200",묵현천교북측,127.3198359105,37.6379472589
"2220313500",최소노드배치점,127.3244175388,37.6451847319
"2770133400",계산리산2-1,127.7861360063,36.1828631540
"1680210800",대성금속,126.6352098344,37.5143650529
"2230153100",오산IC,127.0775105452,37.1429998551
"2882096400",탕정교차로,127.0387763314,36.7953301342
"2882096500",탕정교차로,127.0388874059,36.7953454987
"2882096600",탕정교차로,127.0387178592,36.7955249758
"1680206300",삼광목재,126.6137095079,37.5015720236
"2990066600",중장리175-303,126.3468488650,36.4908601672
"2990064500",안면목장,126.3407085640,36.4804857596
"2610153200",아우라지교북측,128.7143646999,37.4737227188
"2610153500",아우라지삼거리,128.7142508357,37.4739655518
"2610153600",아우라지삼거리,128.7144351528,37.4739000634
"2220315900",달뫼IC,127.3285908864,37.6580283787
"2610153700",아우라지삼거리,128.7143885328,37.4739997744
"2882083800",한들물빛도시2단지,127.0843843541,36.7865758515
"2882083900",한들물빛도시2단지,127.0843152321,36.7866859384
"2882084000",매곡교차로,127.0827509276,36.7879751577
"2882084200",매곡교차로,127.0827111381,36.7880592542
"2882084400",매곡교차로,127.0828557447,36.7880073705
"2882084600",매곡교차로,127.0828141301,36.7880908394
"2882085200",매곡1교남측,127.0824844005,36.7885740973
"2882083000",젤존메디컬시티,127.0836697749,36.7863245690
"2882083100",젤존메디컬시티,127.0836012254,36.7864344748
"2882083200",젤존메디컬시티,127.0838382150,36.7863814747
"2882083300",젤존메디컬시티,127.0837670606,36.7864926403
"2882083400",국제부동산,127.0832491328,36.7870715681
"2882083500",국제부동산,127.0832043904,36.7871542007
"2882083600",국제부동산,127.0833888950,36.7871213664
"2882083700",국제부동산,127.0833399816,36.7872033730
"2882088500",한들물빛도시3단지,127.0872952946,36.7877429973
"2030105700",망포동772-88,127.0380509331,37.2389213030
"2030105800",망포동777-11,127.0397307834,37.2390522441
"2030105900",망포동121-58,127.0398771653,37.2390711537
